periode;maindealercode;maindealername;soff;sales_to_ahass;quantityinunitofentry;unrestricteduse;targetsalesamic;bufferstock
44502;G01;ASTRA MOTOR PALEMBANG;H600;5162;2174;5207;4262;6256
43658;L01;ASTRA MOTOR YOGYAKARTA;H360;9423;1163;1140;1559;1082
43677;R5Z;ASTRA MOTOR SAMARINDA;H800;9620;903;6318;4616;1955
43962;W01;ASTRA MOTOR MAKASSAR;H760;8523;253;2652;4455;3784
44365;Z11;ASTRA MOTOR JAYAPURA;H790;660;7964;6627;9797;3835
44265;K0Z;ASTRA MOTOR SEMARANG;H350;5388;6782;2780;3622;2417
43409;R5Z;ASTRA MOTOR SAMARINDA;H800;9794;1347;3481;5118;6263
42786;R4Z;ASTRA MOTOR BALIKPAPAN;H700;1512;19;2985;4516;5882
42205;Q01;ASTRA MOTOR PONTIANAK;H720;8304;5857;4741;9966;7727
44022;G02;ASTRA MOTOR BENGKULU;H650;3674;5635;7899;2954;3321
42911;R4Z;ASTRA MOTOR BALIKPAPAN;H700;3557;3640;9442;9830;622
42256;N01;ASTRA MOTOR DENPASAR;H540;1491;4157;2200;2726;8964
44948;N02;ASTRA MOTOR MATARAM;H530;5654;5722;8115;7555;9495
43492;L01;ASTRA MOTOR YOGYAKARTA;H360;3407;5256;7576;6757;4879
44360;K0Z;ASTRA MOTOR SEMARANG;H350;2468;6087;6635;6339;8657
43271;G02;ASTRA MOTOR BENGKULU;H650;165;7765;9469;6782;5321
42007;G01;ASTRA MOTOR PALEMBANG;H600;3501;2638;9067;138;8479
45022;K0Z;ASTRA MOTOR SEMARANG;H350;5169;7281;3375;4113;5903
44010;L01;ASTRA MOTOR YOGYAKARTA;H360;7974;9765;3189;1928;6688
42385;Z11;ASTRA MOTOR JAYAPURA;H790;1045;2618;3041;476;2399
43337;N02;ASTRA MOTOR MATARAM;H530;4098;8925;6121;937;9801
42290;Q01;ASTRA MOTOR PONTIANAK;H720;3796;1292;9873;5922;774
44045;L01;ASTRA MOTOR YOGYAKARTA;H360;3084;7768;5767;1041;7730
42632;G02;ASTRA MOTOR BENGKULU;H650;2836;2914;2554;9253;1656
44395;G02;ASTRA MOTOR BENGKULU;H650;1489;7449;8912;5965;4557
43083;R5Z;ASTRA MOTOR SAMARINDA;H800;1201;3819;779;7325;1420
42183;K0Z;ASTRA MOTOR SEMARANG;H350;381;4098;5995;6229;3339
43468;G01;ASTRA MOTOR PALEMBANG;H600;6297;7754;9316;7468;4914
43067;G01;ASTRA MOTOR PALEMBANG;H600;6483;7110;6026;2732;7345
44261;W01;ASTRA MOTOR MAKASSAR;H760;7951;2637;9985;8626;8219
43442;G01;ASTRA MOTOR PALEMBANG;H600;8129;3032;624;9219;456
43851;N02;ASTRA MOTOR MATARAM;H530;4069;9510;7586;9777;8422
45003;K0Z;ASTRA MOTOR SEMARANG;H350;3844;9688;4634;9810;1793
43382;G01;ASTRA MOTOR PALEMBANG;H600;7510;8970;7665;2375;9159
42099;N01;ASTRA MOTOR DENPASAR;H540;5720;7185;6846;911;6696
43419;G01;ASTRA MOTOR PALEMBANG;H600;8422;4602;6911;8931;734
44389;K0Z;ASTRA MOTOR SEMARANG;H350;4430;9665;5326;7118;5863
42013;W01;ASTRA MOTOR MAKASSAR;H760;6923;2812;8873;4095;7047
44724;G02;ASTRA MOTOR BENGKULU;H650;5806;4701;3757;1215;3
44916;N01;ASTRA MOTOR DENPASAR;H540;7179;480;7308;2317;7361
43011;L01;ASTRA MOTOR YOGYAKARTA;H360;1642;8800;4724;7575;7789
43216;R4Z;ASTRA MOTOR BALIKPAPAN;H700;5512;1344;2344;872;331
42548;R4Z;ASTRA MOTOR BALIKPAPAN;H700;8332;2544;8808;1477;8013
44414;K0Z;ASTRA MOTOR SEMARANG;H350;2862;5341;8120;8695;9522
44826;G01;ASTRA MOTOR PALEMBANG;H600;9423;9761;1071;782;3326
43799;R5Z;ASTRA MOTOR SAMARINDA;H800;7135;1657;4521;8009;7495
43203;R4Z;ASTRA MOTOR BALIKPAPAN;H700;4860;6692;2558;5473;4956
44731;N01;ASTRA MOTOR DENPASAR;H540;5508;5287;6680;4016;9195
43308;Z11;ASTRA MOTOR JAYAPURA;H790;7286;8966;386;9763;212
44073;N02;ASTRA MOTOR MATARAM;H530;6547;6185;9917;8777;3187
43273;L01;ASTRA MOTOR YOGYAKARTA;H360;1669;897;6073;4488;4741
44285;G01;ASTRA MOTOR PALEMBANG;H600;468;4652;7883;4327;9057
43498;G02;ASTRA MOTOR BENGKULU;H650;9757;2126;6514;4896;9547
44066;N02;ASTRA MOTOR MATARAM;H530;4582;9626;2172;2371;8267
44971;G01;ASTRA MOTOR PALEMBANG;H600;1486;1536;4079;6226;8313
42367;W01;ASTRA MOTOR MAKASSAR;H760;8782;1384;7726;4662;8582
42311;R5Z;ASTRA MOTOR SAMARINDA;H800;9156;991;3032;453;1870
44279;R4Z;ASTRA MOTOR BALIKPAPAN;H700;8079;9841;7978;9095;3801
42223;G01;ASTRA MOTOR PALEMBANG;H600;6195;3490;4851;574;5905
44851;N02;ASTRA MOTOR MATARAM;H530;1128;8285;8954;7907;5392
44635;N01;ASTRA MOTOR DENPASAR;H540;6289;1442;1679;9657;8989
45180;L01;ASTRA MOTOR YOGYAKARTA;H360;6933;739;5022;4970;4607
42461;L01;ASTRA MOTOR YOGYAKARTA;H360;2395;7465;8330;5952;9189
44877;G02;ASTRA MOTOR BENGKULU;H650;2363;8897;1649;8052;1998
45081;Z11;ASTRA MOTOR JAYAPURA;H790;997;995;9438;4469;6091
43144;L01;ASTRA MOTOR YOGYAKARTA;H360;287;6754;4614;8194;8921
43519;K0Z;ASTRA MOTOR SEMARANG;H350;8519;5733;2077;1145;6167
43055;R5Z;ASTRA MOTOR SAMARINDA;H800;5555;654;9088;2044;5494
44311;K0Z;ASTRA MOTOR SEMARANG;H350;7465;5335;6205;4257;3993
45148;Q01;ASTRA MOTOR PONTIANAK;H720;2293;8634;9783;6121;3777
44901;R4Z;ASTRA MOTOR BALIKPAPAN;H700;9189;9543;4766;6180;3452
42838;Z11;ASTRA MOTOR JAYAPURA;H790;8328;1613;9751;8020;9593
44656;L01;ASTRA MOTOR YOGYAKARTA;H360;9621;321;3202;5045;7749
45083;R4Z;ASTRA MOTOR BALIKPAPAN;H700;4906;1505;1547;2299;8331
44684;K0Z;ASTRA MOTOR SEMARANG;H350;7298;3222;5225;4478;1780
43548;R5Z;ASTRA MOTOR SAMARINDA;H800;3793;5134;4652;5827;2634
42281;K0Z;ASTRA MOTOR SEMARANG;H350;1555;4858;1760;6685;4023
44001;N01;ASTRA MOTOR DENPASAR;H540;4315;8925;5761;712;9772
45092;Z11;ASTRA MOTOR JAYAPURA;H790;4454;4451;178;6511;6149
42219;R5Z;ASTRA MOTOR SAMARINDA;H800;8482;9782;2634;3896;494
42493;R5Z;ASTRA MOTOR SAMARINDA;H800;2189;1506;2690;4921;2719
42929;G02;ASTRA MOTOR BENGKULU;H650;3070;6435;2852;8742;327
45118;R4Z;ASTRA MOTOR BALIKPAPAN;H700;6538;3002;3994;8254;5606
44596;Z11;ASTRA MOTOR JAYAPURA;H790;7981;2700;7103;1804;8500
43756;W01;ASTRA MOTOR MAKASSAR;H760;7442;6706;8606;4415;3590
43149;L01;ASTRA MOTOR YOGYAKARTA;H360;2999;5804;742;3681;6697
44720;N02;ASTRA MOTOR MATARAM;H530;9594;3063;4720;9283;2566
44131;N01;ASTRA MOTOR DENPASAR;H540;9073;8959;3179;5414;8273
43998;G02;ASTRA MOTOR BENGKULU;H650;591;5751;5654;3325;4547
43905;G02;ASTRA MOTOR BENGKULU;H650;7828;5137;8798;9892;1264
44030;Q01;ASTRA MOTOR PONTIANAK;H720;6529;3045;3790;5259;3971
43690;K0Z;ASTRA MOTOR SEMARANG;H350;6783;8625;5169;2373;4451
43945;N01;ASTRA MOTOR DENPASAR;H540;4586;5493;1559;3222;4132
44204;R5Z;ASTRA MOTOR SAMARINDA;H800;946;84;2745;384;5594
44272;R4Z;ASTRA MOTOR BALIKPAPAN;H700;7672;6984;5083;1915;6705
43687;N02;ASTRA MOTOR MATARAM;H530;8950;6938;4847;5745;5129
43929;N01;ASTRA MOTOR DENPASAR;H540;2753;5378;3212;9570;7069
42340;R4Z;ASTRA MOTOR BALIKPAPAN;H700;6541;1181;7872;6287;2100
44879;L01;ASTRA MOTOR YOGYAKARTA;H360;8536;596;8926;4107;9012
43353;Z11;ASTRA MOTOR JAYAPURA;H790;7376;727;7019;1770;2226
42943;L01;ASTRA MOTOR YOGYAKARTA;H360;9494;4725;246;142;2720
42727;N02;ASTRA MOTOR MATARAM;H530;6312;9130;1597;883;1339
44288;G01;ASTRA MOTOR PALEMBANG;H600;8212;3021;3767;1164;6309
44716;L01;ASTRA MOTOR YOGYAKARTA;H360;8722;6469;9594;3306;9966
43896;N02;ASTRA MOTOR MATARAM;H530;1815;8426;3610;7205;6912
43739;W01;ASTRA MOTOR MAKASSAR;H760;9533;3723;8829;2260;3272
42124;N01;ASTRA MOTOR DENPASAR;H540;7707;2289;6244;5839;4236
42369;N02;ASTRA MOTOR MATARAM;H530;7321;2121;498;8702;6078
43204;N02;ASTRA MOTOR MATARAM;H530;2892;7366;367;9462;1466
42928;K0Z;ASTRA MOTOR SEMARANG;H350;6827;9686;8967;7434;2110
43763;N01;ASTRA MOTOR DENPASAR;H540;9062;3405;7290;6668;4782
42047;W01;ASTRA MOTOR MAKASSAR;H760;1467;6327;9001;5947;5061
42802;Z11;ASTRA MOTOR JAYAPURA;H790;8951;5494;3743;1791;3908
43008;L01;ASTRA MOTOR YOGYAKARTA;H360;7500;633;3935;9936;3775
43618;L01;ASTRA MOTOR YOGYAKARTA;H360;7482;1764;1110;531;6562
43503;N02;ASTRA MOTOR MATARAM;H530;3014;491;603;3018;6153
44205;W01;ASTRA MOTOR MAKASSAR;H760;5190;8903;8830;2190;5086
44452;R5Z;ASTRA MOTOR SAMARINDA;H800;5908;3547;2020;2870;9931
43594;L01;ASTRA MOTOR YOGYAKARTA;H360;4508;7897;6008;2735;7004
42876;N01;ASTRA MOTOR DENPASAR;H540;3264;3379;2944;9272;2437
42642;L01;ASTRA MOTOR YOGYAKARTA;H360;2549;8725;3768;8997;8640
44513;Q01;ASTRA MOTOR PONTIANAK;H720;5161;2444;9309;499;8234
43485;G01;ASTRA MOTOR PALEMBANG;H600;3569;6492;6680;4361;2875
43021;Q01;ASTRA MOTOR PONTIANAK;H720;3412;4933;9755;8140;5070
44044;L01;ASTRA MOTOR YOGYAKARTA;H360;278;8451;334;3871;1413
45116;K0Z;ASTRA MOTOR SEMARANG;H350;6086;76;1481;5904;5886
44513;L01;ASTRA MOTOR YOGYAKARTA;H360;8906;9851;7542;2446;3432
44180;G02;ASTRA MOTOR BENGKULU;H650;4210;4965;6728;9948;8567
43602;L01;ASTRA MOTOR YOGYAKARTA;H360;3450;5408;893;4429;5767
44930;G01;ASTRA MOTOR PALEMBANG;H600;5967;3377;4683;7230;7262
43841;K0Z;ASTRA MOTOR SEMARANG;H350;7988;8310;7095;7539;8050
43177;N01;ASTRA MOTOR DENPASAR;H540;2554;8144;2453;9179;7961
45087;Q01;ASTRA MOTOR PONTIANAK;H720;1783;7105;3152;632;5691
43671;K0Z;ASTRA MOTOR SEMARANG;H350;2049;683;6879;8120;1857
42620;K0Z;ASTRA MOTOR SEMARANG;H350;3242;7645;4202;489;7749
44193;K0Z;ASTRA MOTOR SEMARANG;H350;3386;3894;6518;7342;8828
42147;G01;ASTRA MOTOR PALEMBANG;H600;5056;8851;5052;4644;1407
44560;R5Z;ASTRA MOTOR SAMARINDA;H800;2588;1284;9624;8740;5003
43744;K0Z;ASTRA MOTOR SEMARANG;H350;9258;4934;2551;1214;4631
44689;N01;ASTRA MOTOR DENPASAR;H540;8740;9232;7962;7768;7878
42204;W01;ASTRA MOTOR MAKASSAR;H760;2018;3192;677;1720;7063
43489;N02;ASTRA MOTOR MATARAM;H530;5252;6018;5541;7395;9918
43904;Z11;ASTRA MOTOR JAYAPURA;H790;4781;5228;5494;9561;3823
45214;Q01;ASTRA MOTOR PONTIANAK;H720;6016;1801;6640;2365;1844
45149;G01;ASTRA MOTOR PALEMBANG;H600;7787;9333;1609;2823;366
44449;Q01;ASTRA MOTOR PONTIANAK;H720;5919;9392;4479;8978;9643
44230;N02;ASTRA MOTOR MATARAM;H530;7702;6552;8289;5949;8943
44986;N01;ASTRA MOTOR DENPASAR;H540;6419;1998;1386;3390;7936
44880;R5Z;ASTRA MOTOR SAMARINDA;H800;7144;8833;2892;1095;8281
44792;G02;ASTRA MOTOR BENGKULU;H650;9484;665;4771;3429;1488
42815;Q01;ASTRA MOTOR PONTIANAK;H720;3511;2338;6207;7599;8223
44710;G01;ASTRA MOTOR PALEMBANG;H600;693;9740;7754;953;614
44132;G02;ASTRA MOTOR BENGKULU;H650;9412;5351;5501;3232;3322
44145;R5Z;ASTRA MOTOR SAMARINDA;H800;9794;4859;1272;5828;8240
43472;R4Z;ASTRA MOTOR BALIKPAPAN;H700;5972;8750;2311;8582;2985
42951;L01;ASTRA MOTOR YOGYAKARTA;H360;9112;5585;3739;3254;4849
43544;G02;ASTRA MOTOR BENGKULU;H650;8383;8985;3738;9897;5192
44927;L01;ASTRA MOTOR YOGYAKARTA;H360;1316;6262;7768;5021;9253
45041;G02;ASTRA MOTOR BENGKULU;H650;7261;5511;2342;9813;5984
44661;N02;ASTRA MOTOR MATARAM;H530;580;499;4747;4759;1444
42137;R4Z;ASTRA MOTOR BALIKPAPAN;H700;9129;6945;7242;5464;8629
44020;W01;ASTRA MOTOR MAKASSAR;H760;6170;6319;8476;5636;7494
43756;N02;ASTRA MOTOR MATARAM;H530;813;1811;3189;3186;2918
44145;R5Z;ASTRA MOTOR SAMARINDA;H800;3189;1161;2882;6818;1449
43583;L01;ASTRA MOTOR YOGYAKARTA;H360;8593;504;2304;2896;1000
42477;G02;ASTRA MOTOR BENGKULU;H650;3487;5028;1291;5684;5978
43818;G02;ASTRA MOTOR BENGKULU;H650;9190;6799;14;7989;3397
43572;W01;ASTRA MOTOR MAKASSAR;H760;4764;1023;7873;4608;1469
42480;N02;ASTRA MOTOR MATARAM;H530;5174;7979;9212;3121;3295
43009;R4Z;ASTRA MOTOR BALIKPAPAN;H700;9288;6080;2475;5315;5154
42744;K0Z;ASTRA MOTOR SEMARANG;H350;3520;2775;6405;4384;7678
44282;G01;ASTRA MOTOR PALEMBANG;H600;6828;6015;4305;1039;9093
42411;N01;ASTRA MOTOR DENPASAR;H540;748;5969;5672;7310;7504
42615;K0Z;ASTRA MOTOR SEMARANG;H350;1659;2332;2714;8204;1731
44406;L01;ASTRA MOTOR YOGYAKARTA;H360;4453;972;4139;8697;7833
43405;G01;ASTRA MOTOR PALEMBANG;H600;4319;327;5522;643;5093
44729;N02;ASTRA MOTOR MATARAM;H530;5875;6383;1720;8268;4357
43850;R4Z;ASTRA MOTOR BALIKPAPAN;H700;3555;8878;6402;3151;5838
42525;G01;ASTRA MOTOR PALEMBANG;H600;7171;7426;1235;2139;2615
44279;L01;ASTRA MOTOR YOGYAKARTA;H360;7081;7785;8046;1686;4090
43948;R5Z;ASTRA MOTOR SAMARINDA;H800;6712;3517;2561;4011;2117
43853;K0Z;ASTRA MOTOR SEMARANG;H350;4184;2366;2914;3193;446
43421;Z11;ASTRA MOTOR JAYAPURA;H790;32;5383;4724;22;8314
43204;W01;ASTRA MOTOR MAKASSAR;H760;9737;8563;5927;1710;6838
43502;G02;ASTRA MOTOR BENGKULU;H650;4185;4984;1996;210;1192
42172;Q01;ASTRA MOTOR PONTIANAK;H720;9637;6694;7381;8560;5133
43691;K0Z;ASTRA MOTOR SEMARANG;H350;872;9329;4633;5384;5252
42888;G01;ASTRA MOTOR PALEMBANG;H600;6778;5595;9048;9323;2676
43018;L01;ASTRA MOTOR YOGYAKARTA;H360;82;9618;6120;177;4578
43687;W01;ASTRA MOTOR MAKASSAR;H760;8358;4081;1534;7878;4342
42307;N01;ASTRA MOTOR DENPASAR;H540;3789;1301;3513;215;2459
43698;Q01;ASTRA MOTOR PONTIANAK;H720;81;2475;271;7431;2748
42527;Z11;ASTRA MOTOR JAYAPURA;H790;3473;218;3444;4333;949
42499;G02;ASTRA MOTOR BENGKULU;H650;4223;4184;652;4175;832
43431;Q01;ASTRA MOTOR PONTIANAK;H720;8219;1361;8763;6752;787
42028;N02;ASTRA MOTOR MATARAM;H530;1792;8046;6488;8593;4129
44640;N02;ASTRA MOTOR MATARAM;H530;761;7803;8992;1815;8541
44279;L01;ASTRA MOTOR YOGYAKARTA;H360;1271;4940;4566;3319;2293
43113;W01;ASTRA MOTOR MAKASSAR;H760;3873;2477;4639;6882;4044
45255;G02;ASTRA MOTOR BENGKULU;H650;3921;8427;1015;610;3124
42802;Z11;ASTRA MOTOR JAYAPURA;H790;4601;1878;8057;9766;3612
44223;N02;ASTRA MOTOR MATARAM;H530;7435;3470;2969;8697;7813
43021;R4Z;ASTRA MOTOR BALIKPAPAN;H700;756;5856;380;1714;2777
44087;G02;ASTRA MOTOR BENGKULU;H650;7094;142;9220;980;735
43750;Q01;ASTRA MOTOR PONTIANAK;H720;90;5483;3558;4931;3432
44122;G01;ASTRA MOTOR PALEMBANG;H600;7961;8432;8113;4432;460
43340;R5Z;ASTRA MOTOR SAMARINDA;H800;5873;3298;9010;5419;72
43282;N01;ASTRA MOTOR DENPASAR;H540;1461;9786;5491;5550;5138
43013;W01;ASTRA MOTOR MAKASSAR;H760;5480;2882;6721;3922;8992
43394;W01;ASTRA MOTOR MAKASSAR;H760;4593;8172;1827;552;4397
43960;R4Z;ASTRA MOTOR BALIKPAPAN;H700;7138;5925;1397;9035;1666
43810;G02;ASTRA MOTOR BENGKULU;H650;232;8002;7857;831;8218
44622;Q01;ASTRA MOTOR PONTIANAK;H720;5406;5416;3234;6342;1605
42804;W01;ASTRA MOTOR MAKASSAR;H760;3734;8353;8517;5361;7218
42085;G02;ASTRA MOTOR BENGKULU;H650;1657;7963;6335;9917;2605
42747;Q01;ASTRA MOTOR PONTIANAK;H720;6648;2314;5436;7858;3181
44457;K0Z;ASTRA MOTOR SEMARANG;H350;8775;9383;5033;6653;8781
43965;K0Z;ASTRA MOTOR SEMARANG;H350;4866;7060;3569;7179;1629
42063;N01;ASTRA MOTOR DENPASAR;H540;4167;3623;3308;1714;6793
42169;G02;ASTRA MOTOR BENGKULU;H650;2235;7367;7575;3522;7298
43286;Z11;ASTRA MOTOR JAYAPURA;H790;1410;6868;1808;1256;7426
45068;N02;ASTRA MOTOR MATARAM;H530;1088;4902;7115;1514;1946
44201;G01;ASTRA MOTOR PALEMBANG;H600;7392;5414;1712;4488;7069
42164;N01;ASTRA MOTOR DENPASAR;H540;1839;2549;1851;5447;7533
44244;Z11;ASTRA MOTOR JAYAPURA;H790;1751;2151;4924;214;3548
43026;R4Z;ASTRA MOTOR BALIKPAPAN;H700;3574;4889;5842;9217;6299
42935;R5Z;ASTRA MOTOR SAMARINDA;H800;6371;8260;7827;2312;5356
43791;Q01;ASTRA MOTOR PONTIANAK;H720;5444;9411;1948;2606;8445
42378;W01;ASTRA MOTOR MAKASSAR;H760;8478;1836;3721;1126;2687
42190;R5Z;ASTRA MOTOR SAMARINDA;H800;7735;3702;6456;75;1608
43201;G02;ASTRA MOTOR BENGKULU;H650;3027;2861;8080;5358;7262
42149;N02;ASTRA MOTOR MATARAM;H530;6083;9346;7589;3490;5773
45074;N02;ASTRA MOTOR MATARAM;H530;5579;146;3937;7557;4597
42909;G02;ASTRA MOTOR BENGKULU;H650;2287;2948;9939;4168;8037
43204;N01;ASTRA MOTOR DENPASAR;H540;8230;2338;5967;5637;6116
44238;Z11;ASTRA MOTOR JAYAPURA;H790;8019;2343;8212;8804;636
42113;N02;ASTRA MOTOR MATARAM;H530;2865;4080;2754;5151;9610
44148;K0Z;ASTRA MOTOR SEMARANG;H350;1021;4136;6134;2033;9238
44184;L01;ASTRA MOTOR YOGYAKARTA;H360;7342;9938;3875;1989;1403
44985;G01;ASTRA MOTOR PALEMBANG;H600;4742;1047;8597;8122;4490
43384;G02;ASTRA MOTOR BENGKULU;H650;5426;8718;9463;5942;6279
45044;R4Z;ASTRA MOTOR BALIKPAPAN;H700;3288;3261;4931;8858;8779
42269;N01;ASTRA MOTOR DENPASAR;H540;3630;978;902;2144;1993
43936;L01;ASTRA MOTOR YOGYAKARTA;H360;8074;5800;5529;1260;5426
44384;K0Z;ASTRA MOTOR SEMARANG;H350;8735;8883;1596;5506;1044
42041;G01;ASTRA MOTOR PALEMBANG;H600;3018;6133;6031;8824;3872
43954;W01;ASTRA MOTOR MAKASSAR;H760;4658;8040;1120;4218;2255
44023;R5Z;ASTRA MOTOR SAMARINDA;H800;8898;493;7067;3988;9913
42296;Z11;ASTRA MOTOR JAYAPURA;H790;9334;5029;2536;9296;6279
45210;Q01;ASTRA MOTOR PONTIANAK;H720;3322;1204;5248;8844;3532
43983;K0Z;ASTRA MOTOR SEMARANG;H350;2317;7362;5720;1544;9044
43930;R5Z;ASTRA MOTOR SAMARINDA;H800;7822;9880;6672;1836;9660
43679;R5Z;ASTRA MOTOR SAMARINDA;H800;1829;4207;9693;5715;5146
42259;Z11;ASTRA MOTOR JAYAPURA;H790;686;4764;8771;5454;3163
45233;R5Z;ASTRA MOTOR SAMARINDA;H800;3983;9019;4829;9681;3003
44519;K0Z;ASTRA MOTOR SEMARANG;H350;1659;2053;4513;7986;3706
43287;K0Z;ASTRA MOTOR SEMARANG;H350;173;1670;5387;4884;1664
43143;Z11;ASTRA MOTOR JAYAPURA;H790;4949;3214;8180;7151;2569
44297;N01;ASTRA MOTOR DENPASAR;H540;6101;3073;5090;1271;6719
42273;R5Z;ASTRA MOTOR SAMARINDA;H800;8799;1488;8411;2713;1023
42959;N01;ASTRA MOTOR DENPASAR;H540;8462;4168;8294;1539;7837
43609;W01;ASTRA MOTOR MAKASSAR;H760;33;609;838;8712;1935
